Unnamed: 0,Model,Hour,nRVs,Total_Sensing_Coverage,New_Locations_Sensing_Coverage,Order_Overdue,Average_Driving_Incentive,Average_Driving_Incentive_Index,executionTime
8,DeliSense,8,1000.0,8717,1706,18,10.564308390022678,2.1971752774765854,2769.294090032577
9,DeliSense,9,1000.0,8726,1715,19,7.869212218649524,1.4976562934865094,2754.944657087326
10,DeliSense,10,1000.0,9258,2247,91,13.920433096315326,0.8440414161778765,3877.817042350769
0,DeliSense,0,500.0,7914,903,3,10.026271186440676,1.5888398155320247,1341.7232704162598
1,DeliSense,1,500.0,7906,895,4,20.248615384615384,1.7169996822699365,1344.8883275985718
2,DeliSense,2,500.0,7968,957,3,12.215208333333337,1.2012872429246062,1339.0069534778595
3,DeliSense,3,500.0,7836,825,8,26.87600000000001,0.9602648763331072,1340.749834775925
4,DeliSense,4,500.0,7801,790,0,8.300869565217392,1.1281653882116662,1331.910445690155
5,DeliSense,5,500.0,7831,820,7,10.435882352941178,0.4496421575252076,1333.1438555717468
6,DeliSense,6,500.0,7885,874,1,8.19290909090909,0.8950555431065342,1351.971301317215
0,bsd-tsm,0,,8524,1513,137,1.957627118644069,0.1773449861771817,33.12995195388794
1,bsd-tsm,1,,8208,1197,93,1.7969230769230764,0.1268523432464526,27.82081699371338
2,bsd-tsm,2,,7950,939,54,2.5208333333333326,0.1530721218415376,25.386536121368408
3,bsd-tsm,3,,7758,747,32,3.753333333333333,0.177388329529138,23.94102644920349
4,bsd-tsm,4,,7709,698,20,3.134782608695652,0.1419981389630512,23.527069568634037
5,bsd-tsm,5,,7661,650,15,2.7058823529411766,0.1217893237963151,23.445770263671875
6,bsd-tsm,6,,7799,788,52,3.262000000000002,0.1225239959396922,27.716365098953247
7,bsd-tsm,7,,8079,1068,130,12.037962085308044,0.4282610617054098,44.71005153656006
8,bsd-tsm,8,,8387,1376,242,10.399909297052242,0.3374509745500522,123.11223316192628
9,bsd-tsm,9,,8568,1557,281,7.844453376205861,0.3320180806003902,167.9525966644287
